severity	updateDate	comments	line	author	fromHotspot	rule	project	effort	message	creationDate	type	tags	component	flows	organization	textRange	debt	key	hash	status
MAJOR	2019-10-28T14:09:44+0000		241.0		false	squid:S1141	com.mycompany:CupCake	20min	Extract this nested try block into a separate method.	2019-10-28T14:09:44+0000	CODE_SMELL	"confusing / error-handling / "	com.mycompany:CupCake:src/main/java/persistence/UserMapper.java	"{locations=[{component=com.mycompany:CupCake:src/main/java/persistence/UserMapper.java, textRange={startLine=233.0, endLine=233.0, startOffset=8.0, endOffset=11.0}, msg=Nesting + 1}]} / "	default-organization	{startLine=241.0, endLine=241.0, startOffset=16.0, endOffset=19.0}	20min	AW4Ss-9zkMvoHfz8J1Y0	80d5b17efc16ace990c07580fc3e85eb	OPEN
BLOCKER	2019-10-28T14:09:44+0000		285.0		false	squid:S2095	com.mycompany:CupCake	5min	"Use try-with-resources or close this ""ResultSet"" in a ""finally"" clause."	2019-10-28T14:09:44+0000	BUG	"cert / cwe / denial-of-service / leak / "	com.mycompany:CupCake:src/main/java/persistence/UserMapper.java		default-organization	{startLine=285.0, endLine=285.0, startOffset=27.0, endOffset=51.0}	5min	AW4Ss-9ykMvoHfz8J1Yp	a08f269e8f057f4f7277f0f9c3a5ef50	OPEN
MINOR	2019-10-28T14:09:44+0000		316.0		false	squid:S00117	com.mycompany:CupCake	2min	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.	2019-10-28T14:09:44+0000	CODE_SMELL	"convention / "	com.mycompany:CupCake:src/main/java/persistence/UserMapper.java		default-organization	{startLine=316.0, endLine=316.0, startOffset=12.0, endOffset=22.0}	2min	AW4Ss-9zkMvoHfz8J1Y1	2c7c8ebd73e40697e571fa8c345ae40d	OPEN
MINOR	2019-10-28T14:09:44+0000		317.0		false	squid:S00117	com.mycompany:CupCake	2min	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.	2019-10-28T14:09:44+0000	CODE_SMELL	"convention / "	com.mycompany:CupCake:src/main/java/persistence/UserMapper.java		default-organization	{startLine=317.0, endLine=317.0, startOffset=12.0, endOffset=27.0}	2min	AW4Ss-9zkMvoHfz8J1Y2	6a994965b5e239b1d2855cc101c0e446	OPEN
CRITICAL	2019-10-28T14:09:44+0000		31.0		false	squid:S1192	com.mycompany:CupCake	8min	"Define a constant instead of duplicating this literal ""shoppingCart"" 3 times."	2019-10-28T14:09:44+0000	CODE_SMELL	"design / "	com.mycompany:CupCake:src/main/java/presentation/AddToCartCommand.java	"{locations=[{component=com.mycompany:CupCake:src/main/java/presentation/AddToCartCommand.java, textRange={startLine=31.0, endLine=31.0, startOffset=33.0, endOffset=47.0}, msg=Duplication}]} / {locations=[{component=com.mycompany:CupCake:src/main/java/presentation/AddToCartCommand.java, textRange={startLine=34.0, endLine=34.0, startOffset=55.0, endOffset=69.0}, msg=Duplication}]} / {locations=[{component=com.mycompany:CupCake:src/main/java/presentation/AddToCartCommand.java, textRange={startLine=38.0, endLine=38.0, startOffset=29.0, endOffset=43.0}, msg=Duplication}]} / "	default-organization	{startLine=31.0, endLine=31.0, startOffset=33.0, endOffset=47.0}	8min	AW4Ss-_wkMvoHfz8J1Z7	9f3d05b9395411d83a1411a538fffa26	OPEN
MAJOR	2019-10-28T14:09:44+0000		38.0		false	squid:S2441	com.mycompany:CupCake	20min	"Make ""ShoppingCart"" serializable or don't store it in the session."	2019-10-28T14:09:44+0000	BUG	"cwe / "	com.mycompany:CupCake:src/main/java/presentation/AddToCartCommand.java		default-organization	{startLine=38.0, endLine=38.0, startOffset=45.0, endOffset=49.0}	20min	AW4Ss-_wkMvoHfz8J1Z8	1b8bd4a247c83680e8c4aa62a535ff61	OPEN
MAJOR	2019-10-28T14:09:44+0000		40.0		false	squid:CommentedOutCodeLine	com.mycompany:CupCake	5min	This block of commented-out lines of code should be removed.	2019-10-28T14:09:44+0000	CODE_SMELL	"unused / "	com.mycompany:CupCake:src/main/java/presentation/AddToCartCommand.java		default-organization	{startLine=40.0, endLine=40.0, startOffset=0.0, endOffset=72.0}	5min	AW4Ss-_wkMvoHfz8J1Z9	c953020d7f79bc3eb157cf268b663865	OPEN
MAJOR	2019-10-28T14:09:44+0000		40.0		false	squid:S00112	com.mycompany:CupCake	20min	Define and throw a dedicated exception instead of using a generic one.	2019-10-28T14:09:44+0000	CODE_SMELL	"cert / cwe / error-handling / "	com.mycompany:CupCake:src/main/java/presentation/Command.java		default-organization	{startLine=40.0, endLine=40.0, startOffset=89.0, endOffset=98.0}	20min	AW4Ss-_nkMvoHfz8J1Z4	4d448e96db16485f46d89b45103e7c96	OPEN
INFO	2019-10-28T14:09:44+0000		40.0		false	squid:S1135	com.mycompany:CupCake	-	Complete the task associated to this TODO comment.	2019-10-28T14:09:44+0000	CODE_SMELL	"cwe / "	com.mycompany:CupCake:src/main/java/presentation/Command.java		default-organization	{startLine=40.0, endLine=40.0, startOffset=0.0, endOffset=129.0}	-	AW4Ss-_nkMvoHfz8J1Z6	4d448e96db16485f46d89b45103e7c96	OPEN
MINOR	2019-10-28T14:09:44+0000		48.0		false	squid:S1148	com.mycompany:CupCake	10min	Use a logger to log this exception.	2019-10-28T14:09:44+0000	VULNERABILITY	"cwe / error-handling / owasp-a3 / "	com.mycompany:CupCake:src/main/java/presentation/Command.java		default-organization	{startLine=48.0, endLine=48.0, startOffset=14.0, endOffset=29.0}	10min	AW4Ss-_nkMvoHfz8J1Z5	2dc1665d31b37f9aa7408939a0365027	OPEN
MINOR	2019-10-28T14:09:44+0000		3.0		false	squid:UselessImportCheck	com.mycompany:CupCake	2min	Remove this unused import 'persistence.DataSource'.	2019-10-28T14:09:44+0000	CODE_SMELL	"unused / "	com.mycompany:CupCake:src/main/java/presentation/FrontController.java		default-organization	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=30.0}	2min	AW4Ss_AWkMvoHfz8J1aG	82961079e45512d367d3eb55a6b8ec7f	OPEN
MINOR	2019-10-28T14:09:44+0000		4.0		false	squid:UselessImportCheck	com.mycompany:CupCake	2min	Remove this unused import 'presentation.listeners.ApplicationListener'.	2019-10-28T14:09:44+0000	CODE_SMELL	"unused / "	com.mycompany:CupCake:src/main/java/presentation/FrontController.java		default-organization	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=50.0}	2min	AW4Ss_AWkMvoHfz8J1aH	c0639a8bb5fab45a27b0df1209f016c7	OPEN
MINOR	2019-10-28T14:09:44+0000		13.0		false	squid:UselessImportCheck	com.mycompany:CupCake	2min	Remove this unused import 'java.io.InputStream'.	2019-10-28T14:09:44+0000	CODE_SMELL	"unused / "	com.mycompany:CupCake:src/main/java/presentation/FrontController.java		default-organization	{startLine=13.0, endLine=13.0, startOffset=0.0, endOffset=27.0}	2min	AW4Ss_AWkMvoHfz8J1aJ	6f8654322123410341aa3598228f7734	OPEN
MINOR	2019-10-28T14:09:44+0000		14.0		false	squid:UselessImportCheck	com.mycompany:CupCake	2min	Remove this unused import 'java.util.Properties'.	2019-10-28T14:09:44+0000	CODE_SMELL	"unused / "	com.mycompany:CupCake:src/main/java/presentation/FrontController.java		default-organization	{startLine=14.0, endLine=14.0, startOffset=0.0, endOffset=28.0}	2min	AW4Ss_AWkMvoHfz8J1aI	4e60f06d5da02496944556d7f309dfbf	OPEN
INFO	2019-10-28T14:09:44+0000		35.0		false	squid:S1135	com.mycompany:CupCake	-	Complete the task associated to this TODO comment.	2019-10-28T14:09:44+0000	CODE_SMELL	"cwe / "	com.mycompany:CupCake:src/main/java/presentation/FrontController.java		default-organization	{startLine=35.0, endLine=35.0, startOffset=0.0, endOffset=61.0}	-	AW4Ss_AWkMvoHfz8J1aK	3187130bd8a417f4d6303e477eeefda4	OPEN
MINOR	2019-10-28T14:09:44+0000		58.0		false	squid:S1989	com.mycompany:CupCake	20min	"Add a ""try/catch"" block for ""processRequest""."	2019-10-28T14:09:44+0000	VULNERABILITY	"cert / cwe / error-handling / owasp-a3 / "	com.mycompany:CupCake:src/main/java/presentation/FrontController.java		default-organization	{startLine=58.0, endLine=58.0, startOffset=8.0, endOffset=22.0}	20min	AW4Ss_AWkMvoHfz8J1aL	9d9fa424aa41cf769a4b067c7202f2a5	OPEN
MINOR	2019-10-28T14:09:44+0000		58.0		false	squid:S1989	com.mycompany:CupCake	20min	"Add a ""try/catch"" block for ""processRequest""."	2019-10-28T14:09:44+0000	VULNERABILITY	"cert / cwe / error-handling / owasp-a3 / "	com.mycompany:CupCake:src/main/java/presentation/FrontController.java		default-organization	{startLine=58.0, endLine=58.0, startOffset=8.0, endOffset=22.0}	20min	AW4Ss_AWkMvoHfz8J1aM	9d9fa424aa41cf769a4b067c7202f2a5	OPEN
MINOR	2019-10-28T14:09:44+0000		72.0		false	squid:S1989	com.mycompany:CupCake	20min	"Add a ""try/catch"" block for ""processRequest""."	2019-10-28T14:09:44+0000	VULNERABILITY	"cert / cwe / error-handling / owasp-a3 / "	com.mycompany:CupCake:src/main/java/presentation/FrontController.java		default-organization	{startLine=72.0, endLine=72.0, startOffset=8.0, endOffset=22.0}	20min	AW4Ss_AWkMvoHfz8J1aN	9d9fa424aa41cf769a4b067c7202f2a5	OPEN
MINOR	2019-10-28T14:09:44+0000		72.0		false	squid:S1989	com.mycompany:CupCake	20min	"Add a ""try/catch"" block for ""processRequest""."	2019-10-28T14:09:44+0000	VULNERABILITY	"cert / cwe / error-handling / owasp-a3 / "	com.mycompany:CupCake:src/main/java/presentation/FrontController.java		default-organization	{startLine=72.0, endLine=72.0, startOffset=8.0, endOffset=22.0}	20min	AW4Ss_AWkMvoHfz8J1aO	9d9fa424aa41cf769a4b067c7202f2a5	OPEN
MINOR	2019-10-28T14:09:44+0000		8.0		false	squid:UselessImportCheck	com.mycompany:CupCake	2min	Remove this unused import 'logic.LogicFacade'.	2019-10-28T14:09:44+0000	CODE_SMELL	"unused / "	com.mycompany:CupCake:src/main/java/presentation/LogOutCommand.java		default-organization	{startLine=8.0, endLine=8.0, startOffset=0.0, endOffset=25.0}	2min	AW4Ss-_gkMvoHfz8J1Z3	ae1f6f4c20aa029242f020e4d6686ed4	OPEN
MINOR	2019-10-28T14:09:44+0000		9.0		false	squid:UselessImportCheck	com.mycompany:CupCake	2min	Remove this unused import 'logic.User'.	2019-10-28T14:09:44+0000	CODE_SMELL	"unused / "	com.mycompany:CupCake:src/main/java/presentation/LogOutCommand.java		default-organization	{startLine=9.0, endLine=9.0, startOffset=0.0, endOffset=18.0}	2min	AW4Ss-_gkMvoHfz8J1Z2	d08ede36ff9f630896646b536bdea786	OPEN
MAJOR	2019-10-28T14:09:44+0000		27.0		false	squid:S2441	com.mycompany:CupCake	20min	"Make ""User"" serializable or don't store it in the session."	2019-10-28T14:09:44+0000	BUG	"cwe / "	com.mycompany:CupCake:src/main/java/presentation/LoginCommand.java		default-organization	{startLine=27.0, endLine=27.0, startOffset=37.0, endOffset=41.0}	20min	AW4Ss_ABkMvoHfz8J1aB	53f41f97c2c92f8baa1c0d6081529dff	OPEN
MAJOR	2019-10-28T14:09:44+0000		23.0		false	squid:S2441	com.mycompany:CupCake	20min	"Make ""User"" serializable or don't store it in the session."	2019-10-28T14:09:44+0000	BUG	"cwe / "	com.mycompany:CupCake:src/main/java/presentation/RegisterCommand.java		default-organization	{startLine=23.0, endLine=23.0, startOffset=37.0, endOffset=41.0}	20min	AW4Ss_A4kMvoHfz8J1aU	53f41f97c2c92f8baa1c0d6081529dff	OPEN
MAJOR	2019-10-28T14:09:44+0000		19.0		false	squid:S1854	com.mycompany:CupCake	15min	"Remove this useless assignment to local variable ""topping""."	2019-10-28T14:09:44+0000	CODE_SMELL	"cert / cwe / unused / "	com.mycompany:CupCake:src/main/java/presentation/RemoveFromCartCommand.java		default-organization	{startLine=19.0, endLine=19.0, startOffset=24.0, endOffset=67.0}	15min	AW4Ss_BCkMvoHfz8J1aY	33a2795300747d091d733b01e0b729b8	OPEN
MINOR	2019-10-28T14:09:44+0000		19.0		false	squid:S1481	com.mycompany:CupCake	5min	"Remove this unused ""topping"" local variable."	2019-10-28T14:09:44+0000	CODE_SMELL	"unused / "	com.mycompany:CupCake:src/main/java/presentation/RemoveFromCartCommand.java		default-organization	{startLine=19.0, endLine=19.0, startOffset=16.0, endOffset=23.0}	5min	AW4Ss_BCkMvoHfz8J1aZ	33a2795300747d091d733b01e0b729b8	OPEN
MAJOR	2019-10-28T14:09:44+0000		20.0		false	squid:S1854	com.mycompany:CupCake	15min	"Remove this useless assignment to local variable ""bottom""."	2019-10-28T14:09:44+0000	CODE_SMELL	"cert / cwe / unused / "	com.mycompany:CupCake:src/main/java/presentation/RemoveFromCartCommand.java		default-organization	{startLine=20.0, endLine=20.0, startOffset=22.0, endOffset=63.0}	15min	AW4Ss_BCkMvoHfz8J1aX	4b278fd3c180bc372e1d97e2c29dea1f	OPEN
MINOR	2019-10-28T14:09:44+0000		20.0		false	squid:S1481	com.mycompany:CupCake	5min	"Remove this unused ""bottom"" local variable."	2019-10-28T14:09:44+0000	CODE_SMELL	"unused / "	com.mycompany:CupCake:src/main/java/presentation/RemoveFromCartCommand.java		default-organization	{startLine=20.0, endLine=20.0, startOffset=15.0, endOffset=21.0}	5min	AW4Ss_BCkMvoHfz8J1aa	4b278fd3c180bc372e1d97e2c29dea1f	OPEN
MAJOR	2019-10-28T14:09:44+0000		21.0		false	squid:S1854	com.mycompany:CupCake	15min	"Remove this useless assignment to local variable ""cart""."	2019-10-28T14:09:44+0000	CODE_SMELL	"cert / cwe / unused / "	com.mycompany:CupCake:src/main/java/presentation/RemoveFromCartCommand.java		default-organization	{startLine=21.0, endLine=21.0, startOffset=26.0, endOffset=79.0}	15min	AW4Ss_BCkMvoHfz8J1aW	21f34c3f4b82a12677e645adac571863	OPEN
MINOR	2019-10-28T14:09:44+0000		21.0		false	squid:S1481	com.mycompany:CupCake	5min	"Remove this unused ""cart"" local variable."	2019-10-28T14:09:44+0000	CODE_SMELL	"unused / "	com.mycompany:CupCake:src/main/java/presentation/RemoveFromCartCommand.java		default-organization	{startLine=21.0, endLine=21.0, startOffset=21.0, endOffset=25.0}	5min	AW4Ss_BCkMvoHfz8J1ab	21f34c3f4b82a12677e645adac571863	OPEN
MAJOR	2019-10-28T14:09:44+0000		22.0		false	squid:S1854	com.mycompany:CupCake	15min	"Remove this useless assignment to local variable ""logicFacade""."	2019-10-28T14:09:44+0000	CODE_SMELL	"cert / cwe / unused / "	com.mycompany:CupCake:src/main/java/presentation/RemoveFromCartCommand.java		default-organization	{startLine=22.0, endLine=22.0, startOffset=32.0, endOffset=50.0}	15min	AW4Ss_BBkMvoHfz8J1aV	adb2b023cc5fe564967edb53c980cd7f	OPEN
MINOR	2019-10-28T14:09:44+0000		22.0		false	squid:S1481	com.mycompany:CupCake	5min	"Remove this unused ""logicFacade"" local variable."	2019-10-28T14:09:44+0000	CODE_SMELL	"unused / "	com.mycompany:CupCake:src/main/java/presentation/RemoveFromCartCommand.java		default-organization	{startLine=22.0, endLine=22.0, startOffset=20.0, endOffset=31.0}	5min	AW4Ss_BCkMvoHfz8J1ac	adb2b023cc5fe564967edb53c980cd7f	OPEN
MAJOR	2019-10-28T14:09:44+0000		23.0		false	squid:CommentedOutCodeLine	com.mycompany:CupCake	5min	This block of commented-out lines of code should be removed.	2019-10-28T14:09:44+0000	CODE_SMELL	"unused / "	com.mycompany:CupCake:src/main/java/presentation/RemoveFromCartCommand.java		default-organization	{startLine=23.0, endLine=23.0, startOffset=0.0, endOffset=68.0}	5min	AW4Ss_BCkMvoHfz8J1ad	c22d31e14673b2ce9415072a198f938d	OPEN
MINOR	2019-10-28T14:09:44+0000		11.0		false	squid:UselessImportCheck	com.mycompany:CupCake	2min	Remove this unused import 'logic.Bottom'.	2019-10-28T14:09:44+0000	CODE_SMELL	"unused / "	com.mycompany:CupCake:src/main/java/presentation/SubmitOrderCommand.java		default-organization	{startLine=11.0, endLine=11.0, startOffset=0.0, endOffset=20.0}	2min	AW4Ss-_4kMvoHfz8J1Z-	c36d0255e6b002b93da03625d3f6ad82	OPEN
MINOR	2019-10-28T14:09:44+0000		15.0		false	squid:UselessImportCheck	com.mycompany:CupCake	2min	Remove this unused import 'logic.Topping'.	2019-10-28T14:09:44+0000	CODE_SMELL	"unused / "	com.mycompany:CupCake:src/main/java/presentation/SubmitOrderCommand.java		default-organization	{startLine=15.0, endLine=15.0, startOffset=0.0, endOffset=21.0}	2min	AW4Ss-_4kMvoHfz8J1Z_	ed1f6a85783994f0827a6f5c0ab4be40	OPEN
MAJOR	2019-10-28T14:09:44+0000		31.0		false	squid:S2441	com.mycompany:CupCake	20min	"Make ""Order"" serializable or don't store it in the session."	2019-10-28T14:09:44+0000	BUG	"cwe / "	com.mycompany:CupCake:src/main/java/presentation/SubmitOrderCommand.java		default-organization	{startLine=31.0, endLine=31.0, startOffset=38.0, endOffset=43.0}	20min	AW4Ss-_4kMvoHfz8J1aA	803ce8cd92579e6d330bf9bca0cae585	OPEN
MINOR	2019-10-28T14:09:44+0000		5.0		false	squid:UselessImportCheck	com.mycompany:CupCake	2min	Remove this unused import 'javax.servlet.http.HttpSession'.	2019-10-28T14:09:44+0000	CODE_SMELL	"unused / "	com.mycompany:CupCake:src/main/java/presentation/UnknownCommand.java		default-organization	{startLine=5.0, endLine=5.0, startOffset=0.0, endOffset=38.0}	2min	AW4Ss_AwkMvoHfz8J1aR	4969ca9c558457828c7bc372342ef831	OPEN
MINOR	2019-10-28T14:09:44+0000		6.0		false	squid:UselessImportCheck	com.mycompany:CupCake	2min	Remove this unused import 'logic.LogicFacade'.	2019-10-28T14:09:44+0000	CODE_SMELL	"unused / "	com.mycompany:CupCake:src/main/java/presentation/UnknownCommand.java		default-organization	{startLine=6.0, endLine=6.0, startOffset=0.0, endOffset=25.0}	2min	AW4Ss_AwkMvoHfz8J1aT	ae1f6f4c20aa029242f020e4d6686ed4	OPEN
MINOR	2019-10-28T14:09:44+0000		7.0		false	squid:UselessImportCheck	com.mycompany:CupCake	2min	Remove this unused import 'logic.User'.	2019-10-28T14:09:44+0000	CODE_SMELL	"unused / "	com.mycompany:CupCake:src/main/java/presentation/UnknownCommand.java		default-organization	{startLine=7.0, endLine=7.0, startOffset=0.0, endOffset=18.0}	2min	AW4Ss_AwkMvoHfz8J1aS	d08ede36ff9f630896646b536bdea786	OPEN
CRITICAL	2019-10-28T14:09:44+0000		22.0		false	squid:S1186	com.mycompany:CupCake	5min	Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.	2019-10-28T14:09:44+0000	CODE_SMELL	"suspicious / "	com.mycompany:CupCake:src/main/java/presentation/filters/UserAuthFilter.java		default-organization	{startLine=22.0, endLine=22.0, startOffset=16.0, endOffset=20.0}	5min	AW4Ss_AnkMvoHfz8J1aP	5062069c81693f10e0f81a2f16ad8886	OPEN
CRITICAL	2019-10-28T14:09:44+0000		55.0		false	squid:S1186	com.mycompany:CupCake	5min	Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.	2019-10-28T14:09:44+0000	CODE_SMELL	"suspicious / "	com.mycompany:CupCake:src/main/java/presentation/filters/UserAuthFilter.java		default-organization	{startLine=55.0, endLine=55.0, startOffset=16.0, endOffset=23.0}	5min	AW4Ss_AnkMvoHfz8J1aQ	5154420123cc713469f0df4f3e354c08	OPEN
MINOR	2019-10-28T14:09:44+0000		7.0		false	squid:UselessImportCheck	com.mycompany:CupCake	2min	Remove this unused import 'presentation.FrontController'.	2019-10-28T14:09:44+0000	CODE_SMELL	"unused / "	com.mycompany:CupCake:src/main/java/presentation/listeners/ApplicationListener.java		default-organization	{startLine=7.0, endLine=7.0, startOffset=0.0, endOffset=36.0}	2min	AW4Ss_AKkMvoHfz8J1aC	65f3e38f530aaa8ea1587e4a8bd1a518	OPEN
CRITICAL	2019-10-28T14:09:44+0000		30.0		false	squid:S1186	com.mycompany:CupCake	5min	Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.	2019-10-28T14:09:44+0000	CODE_SMELL	"suspicious / "	com.mycompany:CupCake:src/main/java/presentation/listeners/ApplicationListener.java		default-organization	{startLine=30.0, endLine=30.0, startOffset=11.0, endOffset=30.0}	5min	AW4Ss_AKkMvoHfz8J1aE	62abacc8288b9785fb8917741b39e739	OPEN
INFO	2019-10-28T14:09:44+0000		51.0		false	squid:S1135	com.mycompany:CupCake	-	Complete the task associated to this TODO comment.	2019-10-28T14:09:44+0000	CODE_SMELL	"cwe / "	com.mycompany:CupCake:src/main/java/presentation/listeners/ApplicationListener.java		default-organization	{startLine=51.0, endLine=51.0, startOffset=0.0, endOffset=40.0}	-	AW4Ss_AKkMvoHfz8J1aF	94b33fce0906e7d8caa05c7a9eecc660	OPEN
MINOR	2019-10-28T14:09:44+0000		52.0		false	squid:S1148	com.mycompany:CupCake	10min	Use a logger to log this exception.	2019-10-28T14:09:44+0000	VULNERABILITY	"cwe / error-handling / owasp-a3 / "	com.mycompany:CupCake:src/main/java/presentation/listeners/ApplicationListener.java		default-organization	{startLine=52.0, endLine=52.0, startOffset=14.0, endOffset=29.0}	10min	AW4Ss_AKkMvoHfz8J1aD	2dc1665d31b37f9aa7408939a0365027	OPEN
MAJOR	2019-10-28T14:09:44+0000		9.0		false	Web:DoctypePresenceCheck	com.mycompany:CupCake	5min	Insert a <!DOCTYPE> declaration to before this <html> tag.	2019-10-28T14:09:44+0000	BUG	"user-experience / "	com.mycompany:CupCake:src/main/webapp/index.jsp		default-organization	{startLine=9.0, endLine=9.0, startOffset=0.0, endOffset=6.0}	5min	AW4Ss_EtkMvoHfz8J1bf	166248a6129a1e4370d20adc2d4c23f3	OPEN
MAJOR	2019-10-28T14:09:44+0000		9.0		false	Web:S5254	com.mycompany:CupCake	-	"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"	2019-10-28T14:09:44+0000	BUG	"accessibility / wcag2-a / "	com.mycompany:CupCake:src/main/webapp/index.jsp		default-organization	{startLine=9.0, endLine=9.0, startOffset=0.0, endOffset=6.0}	-	AW4Ss_EtkMvoHfz8J1bg	166248a6129a1e4370d20adc2d4c23f3	OPEN
MAJOR	2019-10-28T14:09:44+0000		7.0		false	Web:DoctypePresenceCheck	com.mycompany:CupCake	5min	Insert a <!DOCTYPE> declaration to before this <html> tag.	2019-10-28T14:09:44+0000	BUG	"user-experience / "	com.mycompany:CupCake:src/main/webapp/jsp/cart/cartProductList.jsp		default-organization	{startLine=7.0, endLine=7.0, startOffset=0.0, endOffset=6.0}	5min	AW4Ss_DwkMvoHfz8J1bN	166248a6129a1e4370d20adc2d4c23f3	OPEN
MAJOR	2019-10-28T14:09:44+0000		7.0		false	Web:S5254	com.mycompany:CupCake	-	"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"	2019-10-28T14:09:44+0000	BUG	"accessibility / wcag2-a / "	com.mycompany:CupCake:src/main/webapp/jsp/cart/cartProductList.jsp		default-organization	{startLine=7.0, endLine=7.0, startOffset=0.0, endOffset=6.0}	-	AW4Ss_DwkMvoHfz8J1bO	166248a6129a1e4370d20adc2d4c23f3	OPEN
MAJOR	2019-10-28T14:09:44+0000		9.0		false	Web:DoctypePresenceCheck	com.mycompany:CupCake	5min	Insert a <!DOCTYPE> declaration to before this <html> tag.	2019-10-28T14:09:44+0000	BUG	"user-experience / "	com.mycompany:CupCake:src/main/webapp/jsp/cart/confirmOrder.jsp		default-organization	{startLine=9.0, endLine=9.0, startOffset=0.0, endOffset=6.0}	5min	AW4Ss_EOkMvoHfz8J1bU	166248a6129a1e4370d20adc2d4c23f3	OPEN
MAJOR	2019-10-28T14:09:44+0000		9.0		false	Web:S5254	com.mycompany:CupCake	-	"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"	2019-10-28T14:09:44+0000	BUG	"accessibility / wcag2-a / "	com.mycompany:CupCake:src/main/webapp/jsp/cart/confirmOrder.jsp		default-organization	{startLine=9.0, endLine=9.0, startOffset=0.0, endOffset=6.0}	-	AW4Ss_EOkMvoHfz8J1bV	166248a6129a1e4370d20adc2d4c23f3	OPEN
INFO	2019-10-28T14:09:44+0000		71.0		false	Web:S1135	com.mycompany:CupCake	-	"Complete the task associated to this ""TODO"" comment."	2019-10-28T14:09:44+0000	CODE_SMELL	"cwe / "	com.mycompany:CupCake:src/main/webapp/jsp/cart/confirmOrder.jsp		default-organization	{startLine=71.0, endLine=71.0, startOffset=0.0, endOffset=31.0}	-	AW4Ss_EOkMvoHfz8J1bW	d5a6323969df4eaec4d88c4d895fb059	OPEN
MAJOR	2019-10-28T14:09:44+0000		9.0		false	Web:DoctypePresenceCheck	com.mycompany:CupCake	5min	Insert a <!DOCTYPE> declaration to before this <html> tag.	2019-10-28T14:09:44+0000	BUG	"user-experience / "	com.mycompany:CupCake:src/main/webapp/jsp/cart/invoice.jsp		default-organization	{startLine=9.0, endLine=9.0, startOffset=0.0, endOffset=6.0}	5min	AW4Ss_EEkMvoHfz8J1bR	166248a6129a1e4370d20adc2d4c23f3	OPEN
MAJOR	2019-10-28T14:09:44+0000		9.0		false	Web:S5254	com.mycompany:CupCake	-	"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"	2019-10-28T14:09:44+0000	BUG	"accessibility / wcag2-a / "	com.mycompany:CupCake:src/main/webapp/jsp/cart/invoice.jsp		default-organization	{startLine=9.0, endLine=9.0, startOffset=0.0, endOffset=6.0}	-	AW4Ss_EEkMvoHfz8J1bS	166248a6129a1e4370d20adc2d4c23f3	OPEN
INFO	2019-10-28T14:09:44+0000		70.0		false	Web:S1135	com.mycompany:CupCake	-	"Complete the task associated to this ""TODO"" comment."	2019-10-28T14:09:44+0000	CODE_SMELL	"cwe / "	com.mycompany:CupCake:src/main/webapp/jsp/cart/invoice.jsp		default-organization	{startLine=70.0, endLine=70.0, startOffset=0.0, endOffset=31.0}	-	AW4Ss_EEkMvoHfz8J1bT	d5a6323969df4eaec4d88c4d895fb059	OPEN
MAJOR	2019-10-28T14:09:44+0000		9.0		false	Web:DoctypePresenceCheck	com.mycompany:CupCake	5min	Insert a <!DOCTYPE> declaration to before this <html> tag.	2019-10-28T14:09:44+0000	BUG	"user-experience / "	com.mycompany:CupCake:src/main/webapp/jsp/cart/showCart.jsp		default-organization	{startLine=9.0, endLine=9.0, startOffset=0.0, endOffset=6.0}	5min	AW4Ss_D5kMvoHfz8J1bP	166248a6129a1e4370d20adc2d4c23f3	OPEN
MAJOR	2019-10-28T14:09:44+0000		9.0		false	Web:S5254	com.mycompany:CupCake	-	"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"	2019-10-28T14:09:44+0000	BUG	"accessibility / wcag2-a / "	com.mycompany:CupCake:src/main/webapp/jsp/cart/showCart.jsp		default-organization	{startLine=9.0, endLine=9.0, startOffset=0.0, endOffset=6.0}	-	AW4Ss_D5kMvoHfz8J1bQ	166248a6129a1e4370d20adc2d4c23f3	OPEN
MAJOR	2019-10-28T14:09:44+0000		10.0		false	Web:DoctypePresenceCheck	com.mycompany:CupCake	5min	Insert a <!DOCTYPE> declaration to before this <html> tag.	2019-10-28T14:09:44+0000	BUG	"user-experience / "	com.mycompany:CupCake:src/main/webapp/jsp/nav.jsp		default-organization	{startLine=10.0, endLine=10.0, startOffset=0.0, endOffset=6.0}	5min	AW4Ss_DlkMvoHfz8J1bG	166248a6129a1e4370d20adc2d4c23f3	OPEN
